"awayAST.awayBLK.awayPF.awayORB.awayDRB.awayTRB.homeAST.homeBLK.homePF.homeORB.homeDRB.homeTRB.awayFGR.homeFGR.away2PR.home2PR.away3PR.home3PR.awayFTR.homeFTR.homeAttR.awayAttR.homeScore.awayScore.win"
"29","29 19.6666666666667 6.77777777777778 18.2222222222222 12.2222222222222 31.5555555555556 43.7777777777778 25.2222222222222 6.44444444444444 23.7777777777778 12.7777777777778 30.7777777777778 43.5555555555556 0.439480538504762 0.454625125403385 0.468135722848929 0.470469832511162 0.333353774040049 0.402386964886965 0.746685416879925 0.754884123889972 0.363006053840117 0.343177463250993 63 77 FALSE"
"30","30 19.4444444444444 7.44444444444444 18.1111111111111 12.1111111111111 31.7777777777778 43.8888888888889 24.7777777777778 6.77777777777778 23.6666666666667 14 30.7777777777778 44.7777777777778 0.431944435746474 0.445497706637412 0.456532539567232 0.459086154460817 0.336528377214652 0.389255651755652 0.738537268731777 0.739804758810607 0.35616441729551 0.333733018806548 78 71 TRUE"
"31","31 19.8888888888889 7.55555555555556 17.4444444444444 11.8888888888889 30 41.8888888888889 25.5555555555556 7.55555555555556 23.3333333333333 13.3333333333333 30.7777777777778 44.1111111111111 0.43262006180214 0.464574973559506 0.459191088527151 0.486512482674923 0.330972821659096 0.382972582972583 0.751419716396833 0.746538765544614 0.36585635222109 0.331952392025921 71 37 TRUE"
"32","32 20 7.22222222222222 18 11.7777777777778 28.6666666666667 40.4444444444444 24.8888888888889 8.44444444444444 21.6666666666667 13.3333333333333 31.8888888888889 45.2222222222222 0.41275943462444 0.471981383470629 0.441435097241748 0.491355787518228 0.302401393087668 0.402813852813853 0.778905096513792 0.762812615151796 0.371819942930443 0.31990173843115 91 70 TRUE"
"33","33 20.2222222222222 6.11111111111111 17.6666666666667 12.2222222222222 28.7777777777778 41 25.7777777777778 7.22222222222222 21.3333333333333 12.1111111111111 31.3333333333333 43.4444444444444 0.420151280251579 0.483442463897227 0.446231627411413 0.503022454184894 0.322662830996164 0.417058867058867 0.774307395364367 0.773412030356475 0.381541336624794 0.325704486880957 47 60 FALSE"
"34","34 19.5555555555556 6.66666666666667 18.2222222222222 12.2222222222222 28.3333333333333 40.5555555555556 25.2222222222222 6.66666666666667 21.2222222222222 12.5555555555556 32.1111111111111 44.6666666666667 0.415593366055111 0.472285753150913 0.44264198070822 0.487813142760794 0.280996164329498 0.410565360565361 0.763989935046907 0.802248009192454 0.371708053206605 0.319899710141601 70 77 TRUE"
"35","35 20.1111111111111 6.77777777777778 17.8888888888889 12.1111111111111 28.3333333333333 40.4444444444444 25 6.22222222222222 21.4444444444444 11.5555555555556 31.4444444444444 43 0.422638873100618 0.47682791124855 0.454910499226738 0.494883849831501 0.265123148456482 0.400644725644726 0.753399076629961 0.773147480091925 0.37186067835923 0.321687846779904 69 69 TRUE"
"36","36 19.4444444444444 6.11111111111111 17.6666666666667 12.5555555555556 28.1111111111111 40.6666666666667 25.2222222222222 7.22222222222222 21.6666666666667 11.3333333333333 31.1111111111111 42.4444444444444 0.414947319112768 0.477808858239684 0.453286395284086 0.49299186496738 0.234225941088686 0.415023810612046 0.746037677964215 0.769443776388221 0.374840051926839 0.31750719554043 57 68 TRUE"
"37","37 19.3333333333333 6.11111111111111 18.1111111111111 12.7777777777778 27.7777777777778 40.5555555555556 25.4444444444444 7 20.8888888888889 11.7777777777778 31.1111111111111 42.8888888888889 0.413178273644535 0.473690581326744 0.448864877229554 0.497969587050365 0.242772949635695 0.377722223310459 0.737439794366331 0.760263656096989 0.373475403503367 0.320492605192506 91 73 TRUE"
"38","38 20.1111111111111 5.88888888888889 18.8888888888889 14.5555555555556 27.8888888888889 42.4444444444444 25.4444444444444 7.55555555555556 21 11.1111111111111 30.7777777777778 41.8888888888889 0.412501213184866 0.479746551238136 0.444095401871843 0.500793525358175 0.241891115420527 0.389605764605765 0.717237774164311 0.726857701122407 0.37538935703909 0.320569082850105 84 66 TRUE"
"39","39 18.8888888888889 5.22222222222222 18.7777777777778 14.6666666666667 26.7777777777778 41.4444444444444 25.8888888888889 7.77777777777778 21.8888888888889 10.8888888888889 32.5555555555556 43.4444444444444 0.396168231098459 0.491110187601772 0.43091272767222 0.509791063767478 0.217663880666977 0.419403744403744 0.730436427362964 0.721566695831402 0.384102208742596 0.310481363551859 73 77 TRUE"
"40","40 18.8888888888889 5.11111111111111 20.3333333333333 13.8888888888889 26.6666666666667 40.5555555555556 24.7777777777778 7.44444444444444 22.2222222222222 11 31.8888888888889 42.8888888888889 0.408360782616854 0.484926778164938 0.439404276178188 0.497458884677507 0.245441658444754 0.427580752580753 0.725605509488568 0.739049213313919 0.380648090581149 0.319447343106074 63 55 TRUE"
"41","41 18.5555555555556 5 19.8888888888889 13.8888888888889 26.8888888888889 40.7777777777778 25.2222222222222 7.55555555555556 22.6666666666667 11 30.6666666666667 41.6666666666667 0.419736205013053 0.488370825912783 0.445324518671321 0.503156890375513 0.285124198127294 0.423171581504915 0.716081699964758 0.725985240249946 0.384982211936547 0.330340589293438 76 56 TRUE"
"42","42 19.1111111111111 5 20.4444444444444 12.7777777777778 26.5555555555556 39.3333333333333 24.8888888888889 7.88888888888889 22.7777777777778 12 30 42 0.428734973602614 0.479658019731623 0.458644950859677 0.492635004853628 0.279568642571739 0.423171581504915 0.702901623336406 0.707677159441865 0.374412108281337 0.332299278752127 65 72 FALSE"
"43","43 20.2222222222222 4.77777777777778 19.8888888888889 12 26 38 25.1111111111111 8 21.6666666666667 11.3333333333333 28.5555555555556 39.8888888888889 0.441539206406847 0.495393934350635 0.467291281357014 0.512568815366981 0.343060706063802 0.430226255226255 0.726944573849945 0.688437140201846 0.381957389411524 0.337491386747973 71 76 FALSE"
"44","44 19.8888888888889 4.22222222222222 19.5555555555556 11.1111111111111 26.4444444444444 37.5555555555556 23.5555555555556 8 21.6666666666667 12.4444444444444 29.3333333333333 41.7777777777778 0.445262930130571 0.483937732753588 0.468264288262224 0.508865111663277 0.358933721936818 0.379300329300329 0.740192437097808 0.697167298932005 0.37768388513802 0.346350519770223 54 65 FALSE"
"45","45 20.4444444444444 3.88888888888889 19.4444444444444 10.3333333333333 25.6666666666667 36 23 7.22222222222222 21.1111111111111 12.3333333333333 29.3333333333333 41.6666666666667 0.457683773094285 0.478824232156217 0.480880029002965 0.509449906984915 0.364966904440589 0.342699022110787 0.734326322536041 0.714002315767022 0.366067723521858 0.350645571124098 100 83 TRUE"
"46","46 21.1111111111111 4 19.5555555555556 9.88888888888889 25.5555555555556 35.4444444444444 23.7777777777778 7.44444444444444 22 11.6666666666667 29.7777777777778 41.4444444444444 0.465208083631508 0.494567958234238 0.489760392742664 0.517670942665905 0.369994556527064 0.390318069729834 0.743083848534946 0.739643341408047 0.377599401720203 0.355844732549674 71 75 FALSE"
"47","47 20.1111111111111 4.33333333333333 19.4444444444444 8.88888888888889 25.5555555555556 34.4444444444444 24.2222222222222 7.44444444444444 20.8888888888889 12.2222222222222 29.1111111111111 41.3333333333333 0.470835343888398 0.485866485677343 0.496470227577499 0.50881040748958 0.378864771279632 0.385649535649536 0.769311032656868 0.755765345765346 0.371972852034908 0.361069634703259 58 51 TRUE"
